ticker,CUSIP,name,weight,sector,
EIF,301283107,EXCHANGE INCOME CORP.,4.71,Industrials,46,914,
BDT,09076P104,BIRD CONSTRUCTION INC,4.30,Industrials,42,822,
WIN,928972108,WI-LAN INC.,2.79,Information Technology,27,802,
NPR.UN,665624110,NORTHERN PROPERTY REAL ESTATE INVE,2.67,Financials,26,594,
HR.UN,404428203,HANDR REAL ESTATE INVESTMENT TRUST,2.52,Financials,25,116,
MIC,37252B102,GENWORTH MI CANADA INC.,2.36,Financials,23,536,
RCI.B,775109200,ROGERS COMMUNICATIONS NON-VOTING I,2.33,Telecommunications,23,203,
BCE,05534B760,BCE INC,2.31,Telecommunications,23,037,
MTL,625284104,MULLEN GROUP LTD.,2.30,Energy,22,933,
LB,51925D106,LAURENTIAN BANK OF CANADA,2.15,Financials,21,386,
CJR.B,220874101,CORUS ENTERTAINMENT INC CLASS B,2.11,Consumer Discretionary,20,986,
ESI,293570107,ENSIGN ENERGY SERVICES INC,2.10,Energy,20,865,
IGM,449586106,IGM FINANCIAL INC.,1.97,Financials,19,615,
DII.B,25822C205,DOREL INDUSTRIES INC. CL B,1.95,Consumer Discretionary,19,453,
SJR.B,82028K200,SHAW COMMUNICATIONS INC CLASS B,1.95,Consumer Discretionary,19,380,
EMA,290876101,EMERA INC,1.93,Utilities,19,205,
T,87971M103,TELUS CORP.,1.89,Telecommunications,18,803,
NA,633067103,NATIONAL BANK OF CANADA,1.84,Financials,18,311,
IPL,45833V109,INTER PIPELINE LTD,1.82,Energy,18,107,
BNS,064149107,BANK OF NOVA SCOTIA,1.82,Financials,18,075,
CVE,15135U109,CENOVUS ENERGY INC,1.75,Energy,17,433,
AD,01163Q400,ALARIS ROYALTY CORP,1.75,Financials,17,395,
ENF,29251R105,ENBRIDGE INCOME FUND HOLDINGS INC.,1.66,Energy,16,542,
TD,891160509,TORONTO DOMINION,1.65,Financials,16,434,
TRI,884903105,THOMSON REUTERS CORP,1.63,Consumer Discretionary,16,258,
REF.UN,13650J104,CANADIAN REAL ESTATE INVESTMENT UN,1.63,Financials,16,209,
FTS,349553107,FORTIS INC. (CANADA),1.61,Utilities,16,018,
CG,152006102,CENTERRA GOLD INC.,1.58,Materials,15,704,
CIX,125491100,CI FINANCIAL CORP.,1.52,Financials,15,133,
TCL.A,893578104,TRANSCONTINENTAL SUB VOTING INC CL,1.52,Industrials,15,112,
TRP,89353D107,TRANSCANADA CORPORATION,1.46,Energy,14,555,
KEY,493271100,KEYERA CORP.,1.43,Energy,14,212,
CGX,172454100,CINEPLEX INC.,1.42,Consumer Discretionary,14,129,
G,380956409,GOLDCORP INC,1.41,Materials,13,990,
PSI,702925108,PASON SYSTEMS INC.,1.38,Energy,13,776,
RBA,767744105,RITCHIE BROS AUCTIONEERS INC,1.38,Industrials,13,737,
CMG,205249105,COMPUTER MODEL LTD,1.35,Information Technology,13,464,
FTT,318071404,FINNING INTERNATIONAL INC.,1.29,Industrials,12,871,
GS,37989N106,GLUSKIN SHEFF + ASSOCIATES INC.,1.26,Financials,12,506,
CU,136717832,CANADIAN UTILITIES LTD. CL A,1.26,Utilities,12,503,
SU,867224107,SUNCOR ENERGY INC.,1.24,Energy,12,395,
NAL,65020P103,NEWALTA CORP.,1.19,Energy,11,893,
ENB,29250N105,ENBRIDGE INC,1.17,Energy,11,692,
CWB,13677F101,CANADIAN WESTERN BANK,1.11,Financials,11,080,
SNC,78460T105,SNC-LAVALIN GROUP INC.,1.11,Industrials,11,010,
IFC,45823T106,INTACT FINANCIAL CORP.,1.05,Financials,10,474,
CCA,19238V105,COGECO CABLE INC.,1.01,Consumer Discretionary,10,011,
CAE,124765108,CAE INC,0.88,Industrials,8,756,
ACO.X,046789400,ATCO LTD CLASS I,0.88,Utilities,8,752,
FNV,351858105,FRANCO NEVADA CORP,0.82,Materials,8,123,
MG,559222401,MAGNA INTERNATIONAL INC.,0.82,Consumer Discretionary,8,116,
WJA,960410207,WESTJET AIRLINES LTD.,0.81,Industrials,8,067,
CNQ,136385101,CANADIAN NATURAL RESOURCES LIMITED,0.78,Energy,7,736,
CTC.A,136681202,CANADIAN TIRE LTD CLASS A,0.74,Consumer Discretionary,7,415,
MX,59151K108,METHANEX CORP.,0.72,Materials,7,124,
MRU,59162N109,METRO INC,0.69,Consumer Staples,6,871,
CNR,136375102,CANADIAN NATIONAL RAILWAY COMPANY,0.67,Industrials,6,621,
CCL.B,124900309,CCL INDUSTRIES INC. CL B,0.63,Materials,6,315,
SAP,802912105,SAPUTO INC.,0.62,Consumer Staples,6,149,
EMP.A,291843407,EMPIRE LTD CLASS A,0.60,Consumer Staples,5,960,
HCG,436913107,HOME CAPITAL GROUP INC.,0.60,Financials,5,942,
PJC.A,47215Q104,JEAN COUTU INC,0.57,Consumer Staples,5,713,
SCL,820439107,SHAWCOR LTD,0.54,Energy,5,416,
BYD.UN,103309100,BOYD GROUP INCOME FUND,0.52,Industrials,5,217,
ESL,292949104,ENGHOUSE SYSTEMS LTD.,0.43,Information Technology,4,320,
SJ,85853F105,STELLA-JONES INC.,0.43,Materials,4,300,
IMO,453038408,IMPERIAL OIL LTD.,0.41,Energy,4,102,
QSR,-,RESTAURANTS BRANDS INTERNATIONAL I,0.39,Consumer Discretionary,3,913,
CAD,-,CAD CASH,0.33,Cash and/or Derivatives,3,245,
CP,13645T100,CANADIAN PACIFIC RAILWAY LTD,0.23,Industrials,2,302,
ATD.B,01626P403,ALIMENTATION COUCHE TARD 
