company, ticker
'BOMBARDIER','BBD-B'
'ROMARCO MINERALS','R'
'B2GOLD','BTO'
'NEULION','NLN'
'BARRICK GOLD','ABX'
'LONG RUN EXPLORATION','LRE'
'FIRST QUANTUM MINERALS','FM'
'CENOVUS ENERGY','CVE'
'ENCANA','ECA'
'GOLDCORP','G'
'MANULIFE FIN','MFC'
'CDN NATURAL RES','CNQ'
'YAMANA GOLD','YRI'
'CANADIAN OIL SANDS','COS'
'TORONTO-DOMINION','TD'
'LUNDIN MINING','LUN'
'SUNCOR ENERGY','SU'
'CRESCENT POINT ENERGY','CPG'
'Teck Resources','TCK-B'
'NEW GOLD','NGD'
'SILVER WHEATON','SLW'
'BANK OF NOVA SCOTIA','BNS'
'KINROSS GOLD','K'
'METRO','MRU'
'TRANSALTA','TA'
'ELDORADO GOLD','ELD'
'OCEANAGOLD','OGC'
'SHERRITT INTL RV','S'
'PROMETIC LIFE SCIENCES','PLI'
'POTASH','POT'
'ROYAL BANK OF CANADA','RY'
'PACIFIC RUBIALES ENERGY','PRE'
'ENBRIDGE','ENB'
'BAYTEX ENERGY','BTE'
'PENN WEST PETROLEUM.','PWT'
'AIR CANADA','AC'
'TOREX GOLD RESOURCES','TXG'
'MAGNA INTERNATIONAL','MG'
'CANADIAN NATIONAL RAILWAY CO.','CNR'
'BLACKBERRY','BB'
'SUN LIFE FINANCIAL','SLF'
'TRANSCANADA','TRP'
'TURQUOISE HILL RESOURCES','TRQ'
'TAHOE RESOURCES','THO'
'IAMGOLD','IMG'
'PRECISION DRILLING','PD'
'RMP ENERGY','RMP'
'BANKERS PETROLEUM.','BNK'
'BCE','BCE'
'NATIONAL BANK OF CANADA','NA'
'SEMAFO J','SMF'
'BROOKFIELD ASSET MANAGEMENT','BAM-A'
'CAMECO','CCO'
'WHITECAP RESOURCES','WCP'
'BANK OF MONTREAL','BMO'
'CANADIAN ENERGY SVCS AND TECH C','CEU'
'TELUS','T'
'PAN AMERICAN J','PAA'
'ENERPLUS','ERF'
'AGNICO EAGLE MINES','AEM'
'ARC RESOURCES.','ARX'
'SURGE ENERGY','SGY'
'KLONDEX MINES.','KDX'
'BONAVISTA ENERGY','BNP'
'SECURE ENERGY SERVICES','SES'
'PEMBINA PIPELINE','PPL'
'HUDBAY MINERALS','HBM'
'CANADIAN IMPERIAL BANK OF COMME','CM'
'POWER  OF CANADA, SV','POW'
'SILVERCREST MINES','SVL'
'MEG ENERGY','MEG'
'MERUS LABS INTERNATIONAL','MSL'
'DETOUR GOLD','DGC'
'IVANHOE MINES','IVN'
'NORTH AMERICAN ENERGY PARTNERS','NOA'
'HUSKY ENERGY','HSE'
'ROGERS COMMUNICATIONS','RCI-B'
'WESTERN LITHIUM USA','WLC'
'CONTINENTAL GOLD','CNL'
'FISSION URANIUM','FCU'
'NEWMARKET GOLD','NMI'
'GILDAN ACTIVEWEAR','GIL'
'SHAW COMMUNICATIONS','SJR-B'
'ELEMENT FINANCIAL','EFN'
'ALIMENTATION COUCHE-TARD','ATD-B'
'PENGROWTH ENERGY','PGF'
'FORTUNA SILVER MINES','FVI'
'INTERFOR','IFP'
'AMAYA','AYA'
'MANITOBA TELECOM','MBT'
'INTER PIPELINE','IPL'
'RIOCAN REAL EST UN','REI-UN'
'ARGONAUT GOLD','AR'
'FORTIS','FTS'
'CANEXUS','CUS'
'THOMSON REUTERS','TRI'
'SAPUTO','SAP'
'ENDEAVOUR MINING','EDV'
'ATHABASCA OIL','ATH'
'WESTJET AIRLINES.','WJA'
