ticker,q_code,name
AAA,YAHOO/TSX_AAA_TO,Allana Potash Corp 
AAB,YAHOO/TSX_AAB_TO,Aberdeen International Inc. 
AAH,YAHOO/TSX_AAH_TO,Aastra Technologis 
AAR,YAHOO/TSX_AAR_UN_TO,Pure Industrial Real Estate Trust
AAV,YAHOO/TSX_AAV_TO,Advantage Oil & Gas Ltd. 
ABC,YAHOO/TSX_ABC_TO,Asia Biochem Group Corp 
ABH,YAHOO/TSX_ABH_TO,Abitibibowater Inc 
ABK,YAHOO/TSX_ABK_A_TO,Allbanc Split Corp Class A Capital Shs 
ABO,YAHOO/TSX_ABO_A_TO,Arbor Memorial A 
ABO,YAHOO/TSX_ABO_B_TO,Arbor Memorial Services Inc. Cl B. Nv 
ABT,YAHOO/TSX_ABT_TO,Absolute Software Corp. 
ABX,YAHOO/TSX_ABX_TO,Barrick Gold Corporation 
AC,YAHOO/TSX_AC_A_TO,Air Canada Cl.A 
AC,YAHOO/TSX_AC_B_TO,Air Canada Cl.B 
AC,YAHOO/TSX_AC_WT_TO,Air Canada Wts 
ACC,YAHOO/TSX_ACC_TO,Amica Mature 
ACD,YAHOO/TSX_ACD_TO,Accord Financial 
ACM,YAHOO/TSX_ACM_A_TO,Astral Media Inc. Cl A. Nv 
ACM,YAHOO/TSX_ACM_B_TO,Astral Media Inc. Cl B. Sv 
ACO,YAHOO/TSX_ACO_X_TO,Atco Ltd. Cl.I Nv 
ACO,YAHOO/TSX_ACO_Y_TO,Atco Ltd Cl II 
ACQ,YAHOO/TSX_ACQ_TO,Autocanada Inc 
ACR,YAHOO/TSX_ACR_UN_TO,Agellan Commercial REIT
ACZ,YAHOO/TSX_ACZ_UN_TO,American Core Sectors Dividend
AD,YAHOO/TSX_AD_TO,Alaris Royalty Corp. 
ADA,YAHOO/TSX_ADA_TO,Acadian Mining Corporation 
ADN,YAHOO/TSX_ADN_TO,Acadian Timber Corp 
ADV,YAHOO/TSX_ADV_TO,Alderon Iron Ore Corp 
ADW,YAHOO/TSX_ADW_A_TO,Andrew Peller Limited Cl.A 
AEF,YAHOO/TSX_AEF_TO,Aurora Oil And Gas Ltd 
AEI,YAHOO/TSX_AEI_TO,Arsenal Energy Inc. 
AEM,YAHOO/TSX_AEM_TO,Agnico-Eagle Mines Ltd. 
AEN,YAHOO/TSX_AEN_TO,Antrim Energy J 
AET,YAHOO/TSX_AET_UN_TO,Arc Energy Trust 
AEU,YAHOO/TSX_AEU_UN_TO,Activenergy Income Fund 
AEZ,YAHOO/TSX_AEZ_TO,Aeterna Zentaris Inc. 
AF,YAHOO/TSX_AF_TO,Alarmforce J 
AFN,YAHOO/TSX_AFN_TO,Ag Growth International Inc. 
AGF,YAHOO/TSX_AGF_B_TO,Agf Management Ltd. Cl.B Nv 
AGI,YAHOO/TSX_AGI_TO,Alamos Gold Inc. 
AGT,YAHOO/TSX_AGT_TO,Alliance Grain Traders Inc 
AGU,YAHOO/TSX_AGU_TO,Agrium Inc 
AHF,YAHOO/TSX_AHF_TO,Aston Hill Financial Inc 
AHX,YAHOO/TSX_AHX_TO,Adherex Technologi Com Npv 
AI,YAHOO/TSX_AI_TO,Atrium Mortgage Investment Corp.
AIF,YAHOO/TSX_AIF_TO,Altus Group Limited 
AIM,YAHOO/TSX_AIM_TO,Groupe Aeroplan Inc 
AJX,YAHOO/TSX_AJX_TO,AgJunction
AKG,YAHOO/TSX_AKG_TO,Asanko  GOld Inc.
AKL,YAHOO/TSX_AKL_TO,Akela Pharma Inc 
AKT,YAHOO/TSX_AKT_A_TO,Akita Drilling Ltd. Cl.A Nv 
ALA,YAHOO/TSX_ALA_TO,Altagas Ltd. 
ALB,YAHOO/TSX_ALB_TO,Allbanc Split Banc Corp II 
ALC,YAHOO/TSX_ALC_TO,Algoma Central 
ALD,YAHOO/TSX_ALD_TO,Allied Gold Mining Plc 
ALS,YAHOO/TSX_ALS_TO,Altius Minerals Corporation 
AM,YAHOO/TSX_AM_TO,Automodular Corporation 
AMC,YAHOO/TSX_AMC_TO,Alexis Minerals Corporation 
